,left_id,left_company_name,left_country,left_sector,left_absolute_growth_rate_pct,left_compound_annual_growth_rate_cagr_pct,left_revenue,left_employees_number,left_founding_year,left_website,left_location_city,left_industry,left_market_cap,left_stock,left_ceo,left_address,left_telephone,left_facebook,left_twitter,left_instagram,left_pinterest,left_sales,left_assets,left_area_served,left_wikipedia,left_hhid,left_sic_code,left_type,left_founding_date,right_id,right_company_name,right_country,right_sector,right_absolute_growth_rate_pct,right_compound_annual_growth_rate_cagr_pct,right_revenue,right_employees_number,right_founding_year,right_website,right_location_city,right_industry,right_market_cap,right_stock,right_ceo,right_address,right_telephone,right_facebook,right_twitter,right_instagram,right_pinterest,right_sales,right_assets,right_area_served,right_wikipedia,right_hhid,right_sic_code,right_type,right_founding_date,label
2860,,Galp Energia,Portugal,,,,$19B,"6,152",1999,https://www.forbes.com/companies/galp-energia,,Oil & Gas Operations,,,Andrew Brown,,,,,,,,,,,,,,,,Galp Energia,Portugal,,,,$19B,"6,152",1999,https://www.forbes.com/companies/galp-energia,,Oil & Gas Operations,,,Andrew Brown,,,,,,,,,,,,,,,0
2861,,Galp Energia,Portugal,,,,$19B,"6,152",1999,https://www.forbes.com/companies/galp-energia,,Oil & Gas Operations,,,Andrew Brown,,,,,,,,,,,,,,,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,0
2862,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,84,Catraport,Portugal,Automobiles,"1,306.55",141.39,"518,613",18,2015,,,,,,,,,,,,,,,,,,,,,0
2863,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,104,Oxray,Portugal,Health,"1,179.02",133.86,"427,339",2,2009,,,,,,,,,,,,,,,,,,,,,0
2864,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,292,Plásticos Dão / Sacos & Saquetas,Portugal,Industrial Goods,538.61,85.53,"304,833",5,2012,,,,,,,,,,,,,,,,,,,,,0
2865,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,588,Polipop,Portugal,Industrial Goods,268.16,54.41,"910,392",11,2015,,,,,,,,,,,,,,,,,,,,,0
2866,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,626,SA Formação,Portugal,Education,253.55,52.34,"1,031,733",22,2009,,,,,,,,,,,,,,,,,,,,,0
2867,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,905,Technophage,Portugal,Pharmaceuticals,171.71,39.54,"823,381",9,2005,,,,,,,,,,,,,,,,,,,,,0
2868,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,912,Sano-Técnica,Portugal,Health,170.53,39.34,"1,838,120",12,1938,,,,,,,,,,,,,,,,,,,,,0
2869,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,EDP - Energias de Portugal SA,"Lisbon,Portugal",                                        Utilities                                    ,,,," 12,236",,,,                                        Utilities—Diversified                                    ,$19.43 B,EDP, Mr. Miguel Stilwell de Andrade,,,,,,,,,,,,,,,0
2870,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,Redes Energeticas Nacionais SA,Portugal,,,,$991.3M,697,,www.ren.pt,,Power,$1.8B,,,"Avenida Dos Estados Unidos Da America, 55, Lisboa, 1749-061",351 21 0013500,,,,,,,,,,,,,0
2871,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,Investimentos Participacoes e Gestao SA,Portugal,,,,$1.2B,"1,402",,www.inapa.pt,,Consumer Packaged Goods,$26.7M,,,"Rua Braamcamp 40, 9 Dto., Lisboa, 1250-050",351 21 3823007,,,,,,,,,,,,,0
2872,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,NOS SGPS SA,Portugal,,,,$1.7B,"2,337",,www.nos.pt,,Media,$2.2B,,,"Campo Grande Building, Rua Actor Antonio Silva nº9, Lumiar, Lisboa , 1600-404",351 21 7824700,,,,,,,,,,,,,0
2873,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,The Navigator Co SA,Portugal,,,,$1.9B,"3,218",,www.thenavigatorcompany.com,,Paper and Packaging,$2.4B,,,"Mitrena, Apartado 55, Po Box 55, Setubal, 2901-861",351 265 709000,,,,,,,,,,,,,0
2874,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,Semapa Sociedade de Investimento e Gestao SGPS SA,Portugal,,,,$2.5B,"5,921",,www.semapa.pt,,Paper and Packaging,$1.1B,,,"Av. Fontes Pereira De Melo, 14-10, Lisboa, 1050-121",351 21 3184700,,,,,,,,,,,,,0
2875,,Banco Comercial Portugues,Portugal,,,,$3.2B,"17,331",1985,https://www.forbes.com/companies/banco-comercial-portugues,,Banking and Financial Services,,,Miguel Maya Dias Pinheiro,,,,,,,,,,,,,,,,Banco Comercial Portugues SA,Portugal,,,,$3.4B,"15,667",,www.millenniumbcp.pt,,Financial Services,$3.1B,,,"Praca D. Joao I, 28, Porto, 4000-295",351 22 2072000,,,,,,,,,,,,,0
